id,original,segmented,tagged
76,تراوسه پوري طالبانو د دې ټولو امریکايي چارواکو خبرو ته کوم غبرګون نه دی ښودلی خو ښايي ډير ژر په دې هکله دوی هم کوم څه وړاندې کړي,تراوسهBپوريBطالبانوBدBدېBټولوBامریکاييBچارواکوBخبروBتهBکومBغبرګونBنهBدیBښودلیBخوBښاييBډيرBژرBپهBدېBهکلهBدویBهمBکومBڅهBوړاندېBکړي,"[[""تراوسه"", ""RB""], [""پوري"", ""RB""], [""طالبانو"", ""NN.C.2""], [""د"", ""IN""], [""دې"", ""DT""], [""ټولو"", ""RB""], [""امریکايي"", ""JJ""], [""چارواکو"", ""NN.C.2""], [""خبرو"", ""NN.C.2""], [""ته"", ""PT""], [""کوم"", ""RB""], [""غبرګون"", ""NN.C.1.M""], [""نه"", ""PT""], [""دی"", ""VB.PC""], [""ښودلی"", ""VB.D""], [""خو"", ""CC""], [""ښايي"", ""RB""], [""ډير"", ""JJ""], [""ژر"", ""RB""], [""په"", ""IN""], [""دې"", ""DT""], [""هکله"", ""RB""], [""دوی"", ""PR.P.iii""], [""هم"", ""RB""], [""کوم"", ""RB""], [""څه"", ""RB""], [""وړاندې"", ""RB""], [""کړي"", ""VB.DX""]]"
77,هیله ده چې د اسیا جام او ۲۰ اورونو نړیوال جام لپاره به یوه ښه لوبډله رامنځته کړو,هیلهBدهBچېBدBاسیاSجامBاوB۲۰BاورونوBنړیوالSجامBلپارهBبهBیوهBښهBلوبډلهBرامنځتهBکړو,"[[""هیله"", ""NN.C.1.F""], [""ده"", ""VB.PC""], [""چې"", ""CC""], [""د"", ""IN""], [""اسیا جام"", ""NN.C.1.M""], [""او"", ""CC""], [""۲۰"", ""NB""], [""اورونو"", ""NN.C.2""], [""نړیوال جام"", ""NN.C.1.M""], [""لپاره"", ""PT""], [""به"", ""BA""], [""یوه"", ""DT""], [""ښه"", ""JJ""], [""لوبډله"", ""NN.C.1.F""], [""رامنځته"", ""RB""], [""کړو"", ""VB.DX""]]"
78,همدغه راز داسې کوم قوي تیز توپ اچونکی نه لري چې مخالف ټیم ته دې لوی سرخوږی جوړ کړي,همدغهBرازBداسېBکومBقويBتیزBتوپBاچونکیBنهBلريBچېBمخالفBټیمBتهBدېBلویBسرخوږیBجوړBکړي,"[[""همدغه"", ""DT""], [""راز"", ""NN.C.1.M""], [""داسې"", ""RB""], [""کوم"", ""RB""], [""قوي"", ""JJ""], [""تیز"", ""JJ""], [""توپ"", ""NN.C.1.M""], [""اچونکی"", ""NN.C.1.M""], [""نه"", ""PT""], [""لري"", ""VB.P""], [""چې"", ""CC""], [""مخالف"", ""JJ""], [""ټیم"", ""NN.C.1.M""], [""ته"", ""PT""], [""دې"", ""DT""], [""لوی"", ""JJ""], [""سرخوږی"", ""JJ""], [""جوړ"", ""JJ""], [""کړي"", ""VB.DX""]]"
79,عطا محمد نور د سیاست کولو لپاره کوم ارزښت نه لري,عطاSمحمدBنورBدBسیاستBکولوBلپارهBکومBارزښتBنهBلري,"[[""عطا محمد"", ""NN.P""], [""نور"", ""JJ""], [""د"", ""IN""], [""سیاست"", ""NN.C.1.M""], [""کولو"", ""VB.G""], [""لپاره"", ""PT""], [""کوم"", ""RB""], [""ارزښت"", ""NN.C.1.M""], [""نه"", ""PT""], [""لري"", ""VB.P""]]"
80,په اولې پاڼۍ کې دلاور خان په ۱۰۸ منډې وکړې,پهBاولېBپاڼۍBکېBدلاورSخانBپهB۱۰۸BمنډېBوکړې,"[[""په"", ""IN""], [""اولې"", ""NB""], [""پاڼۍ"", ""NN.C.1.F""], [""کې"", ""PT""], [""دلاور خان"", ""NN.P""], [""په"", ""IN""], [""۱۰۸"", ""NB""], [""منډې"", ""NN.C.1.F""], [""وکړې"", ""VB.H""]]"
81,نوموړي خپلې لومړنۍ زده کړې له خپل پلار څخه چې د خپل وخت مشهور عالم او فقيه وو,نوموړيBخپلېBلومړنۍBزدهBکړېBلهBخپلBپلارBڅخهBچېBدBخپلBوختBمشهورBعالمBاوBفقيهBوو,"[[""نوموړي"", ""JJ""], [""خپلې"", ""JJ""], [""لومړنۍ"", ""JJ""], [""زده"", ""JJ""], [""کړې"", ""VB.DX""], [""له"", ""IN""], [""خپل"", ""JJ""], [""پلار"", ""NN.C.1.M""], [""څخه"", ""PT""], [""چې"", ""CC""], [""د"", ""IN""], [""خپل"", ""JJ""], [""وخت"", ""NN.C.1.M""], [""مشهور"", ""JJ""], [""عالم"", ""JJ""], [""او"", ""CC""], [""فقيه"", ""NN.C.1.M""], [""وو"", ""VB.DC""]]"
82,او ديره ښه ده چې موږ ويره ولرو ويره عادي خبره ده,اوBديرهBښهBدهBچېBموږBويرهBولروBويرهBعاديBخبرهBده,"[[""او"", ""CC""], [""ديره"", ""JJ""], [""ښه"", ""JJ""], [""ده"", ""VB.PC""], [""چې"", ""CC""], [""موږ"", ""PR.P.i""], [""ويره"", ""NN.C.1.F""], [""ولرو"", ""VB.H""], [""ويره"", ""NN.C.1.F""], [""عادي"", ""JJ""], [""خبره"", ""NN.C.1.F""], [""ده"", ""VB.PC""]]"
83,دغې ادارې د ښځو پر وړاندې د تاوتریخوالي د ختمولو د نړیوالې ورځې په مناسبت یوه اعلامیه خپره کړې او د افغان ښځو وضعیت یې پکې په ډاګه کړی,دغېBادارېBدBښځوBپرBوړاندېBدBتاوتریخواليBدBختمولوBدBنړیوالېBورځېBپهBمناسبتBیوهBاعلامیهBخپرهBکړېBاوBدBافغانBښځوBوضعیتBیېBپکېBپهBډاګهBکړی,"[[""دغې"",""DT""],[""ادارې"",""NN.C.1.F""],[""د"",""IN""],[""ښځو"",""NN.C.2""],[""پر"",""IN""],[""وړاندې"",""RB""],[""د"",""IN""],[""تاوتریخوالي"",""NN.C.2""],[""د"",""IN""],[""ختمولو"",""VB.G""],[""د"",""IN""],[""نړیوالې"",""JJ""],[""ورځې"",""NN.C.1.F""],[""په"",""IN""],[""مناسبت"",""NN.C.1.M""],[""یوه"",""DT""],[""اعلامیه"",""NN.C.1.F""],[""خپره"",""JJ""],[""کړې"",""VB.DX""],[""او"",""CC""],[""د"",""IN""],[""افغان"",""JJ""],[""ښځو"",""NN.C.2""],[""وضعیت"",""NN.C.1.M""],[""یې"",""PR.C""],[""پکې"",""RB""],[""په"",""IN""],[""ډاګه"",""NN.C.1.F""],[""کړی"",""VB.DX""]]"
84,د فوټبال نړیوال فدراسیون د کال د غوره ګول وهونکو وروستی نوملړ خپور کړ,دBفوټبالBنړیوالBفدراسیونBدBکالBدBغورهBګولBوهونکوBوروستیBنوملړBخپورBکړ,"[[""د"", ""IN""], [""فوټبال"", ""NN.C.1.M""], [""نړیوال"", ""JJ""], [""فدراسیون"", ""NN.C.1.M""], [""د"", ""IN""], [""کال"", ""NN.C.1.M""], [""د"", ""IN""], [""غوره"", ""JJ""], [""ګول"", ""NN.C.1.M""], [""وهونکو"", ""NN.C.2""], [""وروستی"", ""JJ""], [""نوملړ"", ""NN.C.1.M""], [""خپور"", ""JJ""], [""کړ"", ""VB.DX""]]"
85,په هرات کې د کووید ۱۹ ناروغانو درملنې لپاره د روغتیايي مرکز پرانیستل,پهBهراتBکېBدBکوویدB۱۹BناروغانوBدرملنېBلپارهBدBروغتیاييBمرکزBپرانیستل,"[[""په"", ""IN""], [""هرات"", ""NN.P""], [""کې"", ""PT""], [""د"", ""IN""], [""کووید"", ""NN.P""], [""۱۹"", ""NB""], [""ناروغانو"", ""NN.C.2""], [""درملنې"", ""NN.C.1.F""], [""لپاره"", ""PT""], [""د"", ""IN""], [""روغتیايي"", ""JJ""], [""مرکز"", ""NN.C.1.M""], [""پرانیستل"", ""VB.INF""]]"
86,"دغې ادارې د افغانستان د سرې میاشتې ادارې د مشر مولوي مطیع الحق خالص نقل قول هم اخیستی ، چې دغه وضعیت ته په شدت سره اندیښمن دی","دغېBادارېBدBافغانستانBدBسرېBمیاشتېBادارېBدBمشرBمولويSمطیعSالحقBخالصBنقلBقولBهمBاخیستیB،BچېBدغهBوضعیتBتهBپهBشدتBسرهBاندیښمنBدی","[[""دغې"", ""DT""], [""ادارې"", ""NN.C.1.F""], [""د"", ""IN""], [""افغانستان"", ""NN.P""], [""د"", ""IN""], [""سرې"", ""JJ""], [""میاشتې"", ""NN.C.1.F""], [""ادارې"", ""NN.C.1.F""], [""د"", ""IN""], [""مشر"", ""JJ""], [""مولوي مطیع الحق"", ""NN.P""], [""خالص"", ""JJ""], [""نقل"", ""NN.C.1.M""], [""قول"", ""NN.C.1.M""], [""هم"", ""RB""], [""اخیستی"", ""VB.D""], [""،"", ""PU""], [""چې"", ""CC""], [""دغه"", ""DT""], [""وضعیت"", ""NN.C.1.M""], [""ته"", ""PT""], [""په"", ""IN""], [""شدت"", ""NN.C.1.M""], [""سره"", ""PT""], [""اندیښمن"", ""JJ""], [""دی"", ""VB.PC""]]"
87,چې خپلې هلې ځلې د یوه داسې غوره روغتیایي ټولنیز سیستم د جوړولو لپاره او همدارنګه د ټولنې هر غړي ته د نوموړو شرایطو د برابرولو ترڅنګ,چېBخپلېBهلېSځلېBدBیوهBداسېBغورهBروغتیایيBټولنیزBسیستمBدBجوړولوBلپارهBاوBهمدارنګهBدBټولنېBهرBغړيBتهBدBنوموړوBشرایطوBدBبرابرولوBترڅنګ,"[[""چې"", ""CC""], [""خپلې"", ""JJ""], [""هلې ځلې"", ""NN.C.1.F""], [""د"", ""IN""], [""یوه"", ""DT""], [""داسې"", ""RB""], [""غوره"", ""JJ""], [""روغتیایي"", ""JJ""], [""ټولنیز"", ""JJ""], [""سیستم"", ""NN.C.1.M""], [""د"", ""IN""], [""جوړولو"", ""VB.G""], [""لپاره"", ""PT""], [""او"", ""CC""], [""همدارنګه"", ""RB""], [""د"", ""IN""], [""ټولنې"", ""NN.C.1.F""], [""هر"", ""JJ""], [""غړي"", ""NN.C.2""], [""ته"", ""PT""], [""د"", ""IN""], [""نوموړو"", ""JJ""], [""شرایطو"", ""NN.C.2""], [""د"", ""IN""], [""برابرولو"", ""VB.G""], [""ترڅنګ"", ""RB""]]"
88,د هغې په وینا د نیول شویو کسانو پرضد له پولیسو سره د ترهګریزو کړنو د ثبوت لپاره هیڅ دلیل نه شته,دBهغېBپهBویناBدBنیولBشویوBکسانوBپرضدBلهBپولیسوBسرهBدBترهګریزوBکړنوBدBثبوتBلپارهBهیڅBدلیلBنهBشته,"[[""د"", ""IN""], [""هغې"", ""PR.P.iii""], [""په"", ""IN""], [""وینا"", ""NN.C.1.F""], [""د"", ""IN""], [""نیول"", ""VB.INF""], [""شویو"", ""VB.N""], [""کسانو"", ""NN.C.2""], [""پرضد"", ""RB""], [""له"", ""IN""], [""پولیسو"", ""NN.C.2""], [""سره"", ""PT""], [""د"", ""IN""], [""ترهګریزو"", ""JJ""], [""کړنو"", ""NN.C.2""], [""د"", ""IN""], [""ثبوت"", ""NN.C.1.M""], [""لپاره"", ""PT""], [""هیڅ"", ""RP""], [""دلیل"", ""NN.C.1.M""], [""نه"", ""PT""], [""شته"", ""NN.C.1.F""]]"
89,"په فراه کې شپږ ، بادغیس کې درې ، بلخ کې دوه او په ننګرهار کې یوه پېښه ثبت شوې ده","پهBفراهBکېBشپږB،BبادغیسBکېBدرېB،BبلخBکېBدوهBاوBپهBننګرهارBکېBیوهBپېښهBثبتBشوېBده","[[""په"", ""IN""], [""فراه"", ""NN.P""], [""کې"", ""PT""], [""شپږ"", ""NB""], [""،"", ""PU""], [""بادغیس"", ""NN.P""], [""کې"", ""PT""], [""درې"", ""NB""], [""،"", ""PU""], [""بلخ"", ""NN.P""], [""کې"", ""PT""], [""دوه"", ""NB""], [""او"", ""CC""], [""په"", ""IN""], [""ننګرهار"", ""NN.P""], [""کې"", ""PT""], [""یوه"", ""DT""], [""پېښه"", ""NN.C.1.F""], [""ثبت"", ""NN.C.1.M""], [""شوې"", ""VB.DX""], [""ده"", ""VB.PC""]]"
90,د دې هوکړه لیک یوه ماده دا وه چې امریکایان به د ۱۴ میاشتو په موده کې افغانستان څخه ووځي او طالبان به په دې موده کې په دوی باندې ډز نه کوي,دBدېBهوکړهBلیکBیوهBمادهBداBوهBچېBامریکایانBبهBدB۱۴BمیاشتوBپهBمودهBکېBافغانستانBڅخهBووځيBاوBطالبانBبهBپهBدېBمودهBکېBپهBدویBباندېBډزBنهBکوي,"[[""د"", ""IN""], [""دې"", ""DT""], [""هوکړه"", ""NN.C.1.F""], [""لیک"", ""NN.C.1.M""], [""یوه"", ""DT""], [""ماده"", ""NN.C.1.F""], [""دا"", ""DT""], [""وه"", ""VB.DC""], [""چې"", ""CC""], [""امریکایان"", ""NN.C.2""], [""به"", ""BA""], [""د"", ""IN""], [""۱۴"", ""NB""], [""میاشتو"", ""NN.C.2""], [""په"", ""IN""], [""موده"", ""NN.C.1.F""], [""کې"", ""PT""], [""افغانستان"", ""NN.P""], [""څخه"", ""PT""], [""ووځي"", ""VB.P""], [""او"", ""CC""], [""طالبان"", ""NN.C.2""], [""به"", ""BA""], [""په"", ""IN""], [""دې"", ""DT""], [""موده"", ""NN.C.1.F""], [""کې"", ""PT""], [""په"", ""IN""], [""دوی"", ""PR.P.iii""], [""باندې"", ""RB""], [""ډز"", ""NN.C.1.M""], [""نه"", ""PT""], [""کوي"", ""VB.PX""]]"
91,بیا نو زه خپل حکومت او سیاسیونو ته حیران یم چې ولې یې نه مني,بیاBنوBزهBخپلBحکومتBاوBسیاسیونوBتهBحیرانBیمBچېBولېBیېBنهBمني,"[[""بیا"", ""RB""], [""نو"", ""CC""], [""زه"", ""PR.P.i""], [""خپل"", ""JJ""], [""حکومت"", ""NN.C.1.M""], [""او"", ""CC""], [""سیاسیونو"", ""NN.C.2""], [""ته"", ""PT""], [""حیران"", ""JJ""], [""یم"", ""VB.PC""], [""چې"", ""CC""], [""ولې"", ""RB""], [""یې"", ""PR.C""], [""نه"", ""PT""], [""مني"", ""VB.P""]]"
92,"یو محصل احمد ظاهر وحدت وايي يو محصل ، يو شاګرد او يو استاد کولای شي يوه غټه کتله پوهه کړي چې دا بدرنګ بوټی دی ، مضر بوټی دی","یوBمحصلBاحمدSظاهرBوحدتBواييBيوBمحصلB،BيوBشاګردBاوBيوBاستادBکولایBشيBيوهBغټهBکتلهBپوههBکړيBچېBداBبدرنګBبوټیBدیB،BمضرBبوټیBدی","[[""یو"", ""DT""], [""محصل"", ""NN.C.1.M""], [""احمد ظاهر"", ""NN.P""], [""وحدت"", ""NN.C.1.M""], [""وايي"", ""VB.P""], [""يو"", ""DT""], [""محصل"", ""NN.C.1.M""], [""،"", ""PU""], [""يو"", ""DT""], [""شاګرد"", ""NN.C.1.M""], [""او"", ""CC""], [""يو"", ""DT""], [""استاد"", ""NN.C.1.M""], [""کولای"", ""VB.DX""], [""شي"", ""VB.H""], [""يوه"", ""DT""], [""غټه"", ""JJ""], [""کتله"", ""NN.C.1.F""], [""پوهه"", ""NN.C.1.F""], [""کړي"", ""VB.DX""], [""چې"", ""CC""], [""دا"", ""DT""], [""بدرنګ"", ""JJ""], [""بوټی"", ""NN.C.1.M""], [""دی"", ""VB.PC""], [""،"", ""PU""], [""مضر"", ""JJ""], [""بوټی"", ""NN.C.1.M""], [""دی"", ""VB.PC""]]"
93,نوموړي زیاته کړی چې نیول شوی کس عدلي او قضايي ارګانونو ته سپارل شوی دی,نوموړيBزیاتهBکړیBچېBنیولBشویBکسBعدليBاوBقضاييBارګانونوBتهBسپارلBشویBدی,"[[""نوموړي"", ""JJ""], [""زیاته"", ""JJ""], [""کړی"", ""VB.DX""], [""چې"", ""CC""], [""نیول"", ""VB.INF""], [""شوی"", ""VB.DX""], [""کس"", ""NN.C.1.M""], [""عدلي"", ""JJ""], [""او"", ""CC""], [""قضايي"", ""JJ""], [""ارګانونو"", ""NN.C.2""], [""ته"", ""PT""], [""سپارل"", ""VB.INF""], [""شوی"", ""VB.DX""], [""دی"", ""VB.PC""]]"
94,په کابل کې په تېرو څو کلونو کې ولسمشر غني په امریکا باندې هېڅ نیوکه نه ده کړې,پهBکابلBکېBپهBتېروBڅوBکلونوBکېBولسمشرBغنيBپهBامریکاBباندېBهېڅBنیوکهBنهBدهBکړې,"[[""په"", ""IN""], [""کابل"", ""NN.P""], [""کې"", ""PT""], [""په"", ""IN""], [""تېرو"", ""JJ""], [""څو"", ""RP""], [""کلونو"", ""NN.C.2""], [""کې"", ""PT""], [""ولسمشر"", ""NN.C.1.M""], [""غني"", ""NN.P""], [""په"", ""IN""], [""امریکا"", ""NN.P""], [""باندې"", ""RB""], [""هېڅ"", ""RP""], [""نیوکه"", ""NN.C.1.F""], [""نه"", ""PT""], [""ده"", ""VB.PC""], [""کړې"", ""VB.DX""]]"
95,اوس يو څو علمي لارښوونې چې د ښو پايلو د لاس ته راوړلو لپاره ګټورې دي ۱ ماشومانو ته د دې کوښښ ګټې په ګوته کړ,اوسBيوBڅوBعلميBلارښوونېBچېBدBښوBپايلوBدBلاسBتهBراوړلوBلپارهBګټورېBديB۱BماشومانوBتهBدBدېBکوښښBګټېBپهBګوتهBکړ,"[[""اوس"", ""RB""], [""يو"", ""DT""], [""څو"", ""RP""], [""علمي"", ""JJ""], [""لارښوونې"", ""NN.C.1.F""], [""چې"", ""CC""], [""د"", ""IN""], [""ښو"", ""NN.C.2""], [""پايلو"", ""NN.C.2""], [""د"", ""IN""], [""لاس"", ""NN.C.1.M""], [""ته"", ""PT""], [""راوړلو"", ""VB.G""], [""لپاره"", ""PT""], [""ګټورې"", ""JJ""], [""دي"", ""VB.PC""], [""۱"", ""NB""], [""ماشومانو"", ""NN.C.2""], [""ته"", ""PT""], [""د"", ""IN""], [""دې"", ""DT""], [""کوښښ"", ""NN.C.1.M""], [""ګټې"", ""NN.C.1.F""], [""په"", ""IN""], [""ګوته"", ""NN.C.1.F""], [""کړ"", ""VB.DX""]]"
96,د جرمني د دیموکراسۍ او د بیان د ازادۍ جایزه د چهارشنبې په ورځ اکټوبر ۶ تلې ۱۴ د روسیې د حکومت سیاسي زنداني مخالف الکسي ناوالني او د هغه د فساد ضد بنسټ ته ورکړل شوه,دBجرمنيBدBدیموکراسۍBاوBدBبیانBدBازادۍBجایزهBدBچهارشنبېBپهBورځBاکټوبرB۶BتلېB۱۴BدBروسیېBدBحکومتBسیاسيBزندانيBمخالفBالکسيSناوالنيBاوBدBهغهBدBفسادBضدBبنسټBتهBورکړلBشوه,"[[""د"",""IN""],[""جرمني"",""NN.P""],[""د"",""IN""],[""دیموکراسۍ"",""NN.C.1.F""],[""او"",""CC""],[""د"",""IN""],[""بیان"",""NN.C.1.F""],[""د"",""IN""],[""ازادۍ"",""NN.C.1.F""],[""جایزه"",""NN.C.1.F""],[""د"",""IN""],[""چهارشنبې"",""NN.P""],[""په"",""IN""],[""ورځ"",""NN.C.1.F""],[""اکټوبر"",""NN.P""],[""۶"",""NB""],[""تلې"",""VB.N""],[""۱۴"",""NB""],[""د"",""IN""],[""روسیې"",""NN.P""],[""د"",""IN""],[""حکومت"",""NN.C.1.M""],[""سیاسي"",""JJ""],[""زنداني"",""JJ""],[""مخالف"",""JJ""],[""الکسي ناوالني"",""NN.P""],[""او"",""CC""],[""د"",""IN""],[""هغه"",""DT""],[""د"",""IN""],[""فساد"",""NN.C.1.M""],[""ضد"",""JJ""],[""بنسټ"",""NN.C.1.M""],[""ته"",""PT""],[""ورکړل"",""VB.D""],[""شوه"",""VB.DX""]]"
97,خبریال ویبپاڼه د ایران او امریکا ترمنځ لاهم د خرابو اړیکو لړۍ دوام لري او تازه ویل سوي چې امریکا پر دې هېواد تازه بندیزونه لګوي او امریکا په دې هکله خبرداری ورکړی,خبریالBویبپاڼهBدBایرانBاوBامریکاBترمنځBلاهمBدBخرابوBاړیکوBلړۍBدوامBلريBاوBتازهBویلBسويBچېBامریکاBپرBدېBهېوادBتازهBبندیزونهBلګويBاوBامریکاBپهBدېBهکلهBخبرداریBورکړی,"[[""خبریال"", ""NN.C.1.M""], [""ویبپاڼه"", ""NN.C.1.F""], [""د"", ""IN""], [""ایران"", ""NN.P""], [""او"", ""CC""], [""امریکا"", ""NN.P""], [""ترمنځ"", ""PT""], [""لاهم"", ""RB""], [""د"", ""IN""], [""خرابو"", ""JJ""], [""اړیکو"", ""NN.C.2""], [""لړۍ"", ""NN.C.1.F""], [""دوام"", ""NN.C.1.M""], [""لري"", ""VB.P""], [""او"", ""CC""], [""تازه"", ""JJ""], [""ویل"", ""VB.INF""], [""سوي"", ""JJ""], [""چې"", ""CC""], [""امریکا"", ""NN.P""], [""پر"", ""IN""], [""دې"", ""DT""], [""هېواد"", ""NN.C.1.M""], [""تازه"", ""JJ""], [""بندیزونه"", ""NN.C.2""], [""لګوي"", ""VB.P""], [""او"", ""CC""], [""امریکا"", ""NN.P""], [""په"", ""IN""], [""دې"", ""DT""], [""هکله"", ""RB""], [""خبرداری"", ""NN.C.1.M""], [""ورکړی"", ""VB.D""]]"
98,مالکه د لوړ فشار او پښتورګو د تخريب په چاره کې ترټولو چټکه ده,مالکهBدBلوړBفشارBاوBپښتورګوBدBتخريبBپهBچارهBکېBترټولوBچټکهBده,"[[""مالکه"", ""NN.C.1.F""], [""د"", ""IN""], [""لوړ"", ""JJ""], [""فشار"", ""NN.C.1.M""], [""او"", ""CC""], [""پښتورګو"", ""NN.C.2""], [""د"", ""IN""], [""تخريب"", ""NN.C.1.M""], [""په"", ""IN""], [""چاره"", ""NN.C.1.F""], [""کې"", ""PT""], [""ترټولو"", ""RB""], [""چټکه"", ""JJ""], [""ده"", ""VB.PC""]]"
99,علامه يې له لومړنيو زده کوونکو څخه و او په,علامهBيېBلهBلومړنيوBزدهBکوونکوBڅخهBوBاوBپه,"[[""علامه"", ""NN.C.1.F""], [""يې"", ""PR.C""], [""له"", ""IN""], [""لومړنيو"", ""JJ""], [""زده"", ""JJ""], [""کوونکو"", ""JJ""], [""څخه"", ""PT""], [""و"", ""VB.DC""], [""او"", ""CC""], [""په"", ""IN""]]"
100,۸ اعشاریه اووه میلیونه خلک له قحطۍ سره لاس او ګرېوان دي,۸BاعشاریهBاووهBمیلیونهBخلکBلهBقحطۍBسرهBلاسSاوSګرېوانBدي,"[[""۸"", ""NB""], [""اعشاریه"", ""NB""], [""اووه"", ""NB""], [""میلیونه"", ""NB""], [""خلک"", ""NN.C.2""], [""له"", ""IN""], [""قحطۍ"", ""NN.C.1.F""], [""سره"", ""PT""], [""لاس او ګرېوان"", ""RB""], [""دي"", ""VB.PC""]]"
101,"دغه چارواکي ويلي هر څوک چې دخیل وي ، حقوقي حساب او کتاب به ورسره کیږي ، له ستنېدو سره سم به درنه جریمه پرې لګول کیږي او درې کاله به له سفر کولو بند شي","دغهBچارواکيBويليBهرBڅوکBچېBدخیلBويB،BحقوقيBحسابBاوBکتابBبهBورسرهBکیږيB،BلهBستنېدوBسرهBسمBبهBدرنهBجریمهBپرېBلګولBکیږيBاوBدرېBکالهBبهBلهBسفرBکولوBبندBشي","[[""دغه"", ""DT""], [""چارواکي"", ""NN.C.2""], [""ويلي"", ""VB.D""], [""هر"", ""JJ""], [""څوک"", ""PR.W""], [""چې"", ""CC""], [""دخیل"", ""JJ""], [""وي"", ""VB.DC""], [""،"", ""PU""], [""حقوقي"", ""JJ""], [""حساب"", ""NN.C.1.M""], [""او"", ""CC""], [""کتاب"", ""NN.C.1.M""], [""به"", ""BA""], [""ورسره"", ""RB""], [""کیږي"", ""VB.P""], [""،"", ""PU""], [""له"", ""IN""], [""ستنېدو"", ""VB.G""], [""سره"", ""PT""], [""سم"", ""JJ""], [""به"", ""BA""], [""درنه"", ""JJ""], [""جریمه"", ""NN.C.1.F""], [""پرې"", ""RB""], [""لګول"", ""VB.INF""], [""کیږي"", ""VB.P""], [""او"", ""CC""], [""درې"", ""NB""], [""کاله"", ""NN.C.2""], [""به"", ""BA""], [""له"", ""IN""], [""سفر"", ""NN.C.1.M""], [""کولو"", ""VB.G""], [""بند"", ""JJ""], [""شي"", ""VB.H""]]"
102,د هند کورنۍ سیالۍ په ۲۰۰۷ کال کې د نویو لوبغاړو د موندلو او هند کې د کرکټ د ودې او د تفریح لپاره پیل شوې او دا یې لسمه دوره ده,دBهندBکورنۍBسیالۍBپهB۲۰۰۷BکالBکېBدBنویوBلوبغاړوBدBموندلوBاوBهندBکېBدBکرکټBدBودېBاوBدBتفریحBلپارهBپیلBشوېBاوBداBیېBلسمهBدورهBده,"[[""د"", ""IN""], [""هند"", ""NN.P""], [""کورنۍ"", ""NN.C.1.F""], [""سیالۍ"", ""NN.C.1.F""], [""په"", ""IN""], [""۲۰۰۷"", ""NB""], [""کال"", ""NN.C.1.M""], [""کې"", ""PT""], [""د"", ""IN""], [""نویو"", ""JJ""], [""لوبغاړو"", ""NN.C.2""], [""د"", ""IN""], [""موندلو"", ""VB.G""], [""او"", ""CC""], [""هند"", ""NN.P""], [""کې"", ""PT""], [""د"", ""IN""], [""کرکټ"", ""NN.C.1.M""], [""د"", ""IN""], [""ودې"", ""NN.C.1.F""], [""او"", ""CC""], [""د"", ""IN""], [""تفریح"", ""NN.C.1.M""], [""لپاره"", ""PT""], [""پیل"", ""JJ""], [""شوې"", ""VB.DX""], [""او"", ""CC""], [""دا"", ""DT""], [""یې"", ""PR.C""], [""لسمه"", ""NB""], [""دوره"", ""NN.C.1.F""], [""ده"", ""VB.PC""]]"
103,خو د رسنیو د راپورونو پر اساس د کرېکټ بورډ اداره یې پر وړاندې خنډونه جوړوي او د لیګ د ترسره کېدو مخه نیسي,خوBدBرسنیوBدBراپورونوBپرBاساسBدBکرېکټBبورډBادارهBیېBپرBوړاندېBخنډونهBجوړويBاوBدBلیګBدBترسرهBکېدوBمخهBنیسي,"[[""خو"", ""CC""], [""د"", ""IN""], [""رسنیو"", ""NN.C.2""], [""د"", ""IN""], [""راپورونو"", ""NN.C.2""], [""پر"", ""IN""], [""اساس"", ""NN.C.1.M""], [""د"", ""IN""], [""کرېکټ"", ""NN.C.1.M""], [""بورډ"", ""NN.C.1.M""], [""اداره"", ""NN.C.1.F""], [""یې"", ""PR.C""], [""پر"", ""IN""], [""وړاندې"", ""RB""], [""خنډونه"", ""NN.C.2""], [""جوړوي"", ""VB.P""], [""او"", ""CC""], [""د"", ""IN""], [""لیګ"", ""NN.C.1.M""], [""د"", ""IN""], [""ترسره"", ""JJ""], [""کېدو"", ""VB.G""], [""مخه"", ""NN.C.1.F""], [""نیسي"", ""VB.P""]]"
104,رپورټ ترمخه تير څليريشت ګهنټو کښې اته شپيته تازه کيسونه رپورټ شوي خيبرپښتونخوا کښي تير يو ورځ دوران کورونا دوه شپيته مريضان صحت ياب شوي,رپورټBترمخهBتيرBڅليريشتBګهنټوBکښېBاتهBشپيتهBتازهBکيسونهBرپورټBشويBخيبرپښتونخواBکښيBتيرBيوBورځBدورانBکوروناBدوهBشپيتهBمريضانBصحتSيابBشوي,"[[""رپورټ"",""NN.C.1.M""],[""ترمخه"",""RB""],[""تير"",""JJ""],[""څليريشت"",""NB""],[""ګهنټو"",""NN.C.2""],[""کښې"",""PT""],[""اته"",""NB""],[""شپيته"",""NB""],[""تازه"",""JJ""],[""کيسونه"",""NN.C.2""],[""رپورټ"",""NN.C.1.M""],[""شوي"",""VB.DX""],[""خيبرپښتونخوا"",""NN.P""],[""کښي"",""PT""],[""تير"",""JJ""],[""يو"",""DT""],[""ورځ"",""NN.C.1.F""],[""دوران"",""NN.C.1.M""],[""کورونا"",""NN.P""],[""دوه"",""NB""],[""شپيته"",""NB""],[""مريضان"",""NN.C.2""],[""صحت ياب"",""JJ""],[""شوي"",""VB.DX""]]"
